PSGC;Location_Name
1300000000;National Capital Region (NCR)
1400000000;Cordillera Administrative Region (CAR)
0100000000;Region I (Ilocos Region)
0200000000;Region II (Cagayan Valley)
0300000000;Region III (Central Luzon)
0400000000;Region IV-A (CALABARZON)
1700000000;MIMAROPA Region
0500000000;Region V (Bicol Region)
0600000000;Region VI (Western Visayas)
0700000000;Region VII (Central Visayas)
0800000000;Region VIII (Eastern Visayas)
0900000000;Region IX (Zamboanga Peninsula)
1000000000;Region X (Northern Mindanao)
1100000000;Region XI (Davao Region)
1200000000;Region XII (SOCCSKSARGEN)
1600000000;Region XIII (Caraga)
1900000000;Bangsamoro Autonomous Region In Muslim Mindanao (BARMM)
