psgc;income_class;year;current_operating_income_local_tax_real_property_general;current_operating_income_local_tax_real_property_special_education;current_operating_income_local_tax_real_property_total;current_operating_income_local_tax_business;current_operating_income_local_tax_other;current_operating_income_local_tax_total;current_operating_income_local_nontax_regulatory_fees;current_operating_income_local_nontax_service_user_charges;current_operating_income_local_nontax_economic_enterprise_receipts;current_operating_income_local_nontax_other_receipts;current_operating_income_local_nontax_total;current_operating_income_local_total;current_operating_income_external_national_tax_allotment;current_operating_income_external_national_tax_other_shares;current_operating_income_external_interlocal_transfers;current_operating_income_external_extraordinary_donations;current_operating_income_external_total;current_operating_income_total;current_operating_expenditures_general_public_services;current_operating_expenditures_social_services_manpower_development;current_operating_expenditures_social_services_health_nutrition_population;current_operating_expenditures_social_services_labor_employment;current_operating_expenditures_social_services_housing_community_development;current_operating_expenditures_social_services_welfare;current_operating_expenditures_social_services_total;current_operating_expenditures_economic_services;current_operating_expenditures_debt_services;current_operating_expenditures_total;net_operating_income;non_income_receipts_capital_investment_asset_sale_proceeds;non_income_receipts_capital_investment_others_debt_securities_sales_proceeds;non_income_receipts_capital_investment_loans_receivable_collections;non_income_receipts_capital_investment_total;non_income_receipts_loans_borrowings_loans_acquisitions;non_income_receipts_loans_borrowings_bonds_issuance;non_income_receipts_loans_borrowings_total;non_income_receipts_others;non_income_receipts_total;nonoperating_expenditures_capital_investment_property_plant_equipment;nonoperating_expenditures_capital_investment_other_entities_debt_securities;nonoperating_expenditures_capital_investment_other_entities_grant_loan;nonoperating_expenditures_capital_investment_total;nonoperating_expenditures_debt_service_loan_amortization_payment;nonoperating_expenditures_debt_service_retirement_bonds_redemption_debt_securities;nonoperating_expenditures_debt_service_total;nonoperating_expenditures_other;nonoperating_expenditures_total;funds_net_increase;cash_balance_beginning;fund_available;accounts_payable_payment_of_prior_years;continuing_appropriation;fund_balance
1400100000;3rd;2023;3932010.53;5998328.78;9930339.31;2008779.76;1719084.32;13658203.39;5422921.60;38725103.30;0.00;1103723.88;45251748.78;58909952.17;1455855066.00;288447.98;0.00;0.00;1456143513.98;1515053466.15;495634982.69;0.00;305883045.68;0.00;0.00;35683402.90;341566448.58;387194185.77;24506727.91;1248902344.95;266151121.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;741470.55;741470.55;167780519.19;0.00;0.00;167780519.19;77822380.45;0.00;77822380.45;0.00;245602899.64;21289692.11;1917709081.69;1938998773.80;15946761.89;352278618.72;1570773393.19
1408100000;3rd;2023;5282649.13;7541498.72;12824147.85;11135146.76;679411.84;24638706.45;3081602.00;25793248.45;35547684.12;5296369.21;69718903.78;94357610.23;1337178803.04;48825.54;0.00;180002.53;1337407631.11;1431765241.34;436795292.23;65164800.22;166713532.98;0.00;0.00;54448664.82;286326998.02;136243643.26;0.00;859365933.51;572399307.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2350320.97;2350320.97;188578463.49;0.00;0.00;188578463.49;0.00;0.00;0.00;0.00;188578463.49;386171165.31;1751687755.58;2137858920.89;0.00;461156005.89;1676702915.00
1401100000;2nd;2023;51834059.10;57819717.73;109653776.83;6604651.35;23313637.05;139572065.23;2397200.00;71036929.42;363346393.26;17281747.87;454062270.55;593634335.78;1482020879.04;28474636.96;0.00;341664.34;1510837180.34;2104471516.12;533527832.66;25904174.61;226763742.52;0.00;0.00;98065151.36;350733068.49;514363701.47;0.00;1398624602.62;705846913.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;207620781.51;0.00;0.00;207620781.51;0.00;0.00;0.00;0.00;207620781.51;498226131.99;1034289207.78;1532515339.77;624547520.24;60519136.03;847448683.50
1402700000;3rd;2023;11349143.38;10719613.43;22068756.81;4890420.51;1222019.10;28181196.42;1001673.80;103076185.31;7462191.85;862050.89;112402101.85;140583298.27;1179958925.04;1437725.38;0.00;0.00;1181396650.42;1321979948.69;312902717.51;7725000.00;351019987.75;0.00;0.00;28186001.77;386930989.52;86392652.88;12267777.80;798494137.71;523485810.98;0.00;0.00;0.00;0.00;162971834.94;0.00;162971834.94;4472902.28;167444737.22;238447682.20;0.00;0.00;238447682.20;16160239.86;0.00;16160239.86;0.00;254607922.06;436322626.14;1246921841.37;1683244467.51;34675695.05;681615657.48;966953114.98
1403200000;3rd;2023;1330326.64;1900418.83;3230745.47;11306416.61;1848454.92;16385617.00;1457846.43;211376223.55;0.00;7588710.36;220422780.34;236808397.34;1291903794.00;1214775.39;577788.10;334811.82;1294031169.31;1530839566.65;389351782.91;19120558.83;445712875.64;0.00;0.00;66332640.49;531166074.96;113051724.85;31171521.06;1064741103.78;466098462.87;0.00;0.00;0.00;0.00;145300000.00;0.00;145300000.00;0.00;145300000.00;233721946.00;0.00;0.00;233721946.00;7291666.35;0.00;7291666.35;0.00;241013612.35;370384850.52;929852838.96;1300237689.48;431141454.46;117436721.99;751659513.03
1404400000;4th;2023;7010963.98;4529774.81;11540738.79;2423005.76;639698.37;14603442.92;90000.00;120060486.70;0.00;1828195.76;121978682.46;136582125.38;1056887055.00;1072692.41;0.00;0.00;1057959747.41;1194541872.79;288949112.59;9346312.59;286333352.86;0.00;0.00;77803372.57;373483038.02;163818990.61;38979188.97;865230330.19;329311542.60;0.00;0.00;0.00;0.00;73688955.19;0.00;73688955.19;10334849.13;84023804.32;203166150.31;0.00;0.00;203166150.31;56783257.70;0.00;56783257.70;0.00;259949408.01;153385938.91;563354065.11;716740004.02;145002063.66;144673410.88;427064529.48
0102800000;1st;2023;74849217.53;107232827.70;182082045.23;12371223.74;6776464.66;201229733.63;13533833.20;202063910.88;0.00;15084424.68;230682168.76;431911902.39;1754212250.04;324204937.27;0.00;33000.00;2078450187.31;2510362089.70;535078664.60;247419472.99;541070964.56;0.00;0.00;66335458.29;854825895.84;629322966.81;73127977.81;2092355505.06;418006584.64;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;77858272.21;0.00;0.00;77858272.21;109028799.31;0.00;109028799.31;0.00;186887071.52;231119513.12;2316785012.83;2547904525.95;2718969.06;108148210.44;2437037346.45
0102900000;1st;2023;26633514.80;37837959.10;64471473.90;75818023.67;8774803.13;149064300.70;17427169.00;405848493.54;0.00;82545401.85;505821064.39;654885365.09;1729837416.00;1488280477.09;0.00;0.00;3218117893.09;3873003258.18;521910364.92;35449026.88;526641515.07;0.00;0.00;282635743.81;844726285.76;2400622648.69;0.00;3767259299.37;105743958.81;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13064699.83;13064699.83;695420619.46;0.00;0.00;695420619.46;0.00;0.00;0.00;1340625401.84;2036046021.30;-1917237362.66;9407474320.20;7490236957.54;281716872.96;1088628819.87;6119891264.71
0103300000;1st;2023;53653806.49;79441821.01;133095627.50;10503167.88;15128652.40;158727447.78;14945886.63;9315576.66;298214522.61;23438482.58;345914468.48;504641916.26;1700978004.00;348197137.75;0.00;0.00;2049175141.75;2553817058.01;544453586.18;45681050.29;114956480.73;0.00;0.00;233887103.32;394524634.34;538237024.04;12610476.17;1489825720.73;1063991337.28;104470.00;0.00;0.00;104470.00;22118428.35;0.00;22118428.35;147351839.70;169574738.05;771774772.25;0.00;0.00;771774772.25;21035055.84;0.00;21035055.84;338157005.62;1130966833.71;102599241.62;3633009663.83;3735608905.45;137236618.41;398254122.69;3200118164.35
0105500000;1st;2023;161040143.80;246059084.76;407099228.56;208125364.77;64489951.56;679714544.89;936898.20;340824420.26;0.00;2639578.76;344400897.22;1024115442.11;4677704825.04;142397140.01;0.00;10660000.00;4830761965.05;5854877407.16;1188241100.07;482117654.44;1383716891.97;11164351.02;29694893.60;203214787.28;2109908578.31;380255898.50;31053636.46;3709459213.34;2145418193.82;0.00;0.00;0.00;0.00;215580278.63;0.00;215580278.63;0.00;215580278.63;694741597.30;0.00;0.00;694741597.30;380491615.94;0.00;380491615.94;0.00;1075233213.24;1285765259.21;4105017284.54;5390782543.75;21639143.85;155885053.82;5213258346.08
